Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Raw data #1,Dark Subtracted #1
388,553.18,18077.24,719.76,3050,4197,1147
389,553.24,18075.48,721.52,2757,3812,1055
390,553.29,18073.71,723.28,3104,4206,1102
391,553.34,18071.95,725.04,2914,4004,1090
392,553.4,18070.19,726.8,3090,4160,1070
393,553.45,18068.44,728.56,2680,3726,1046
394,553.51,18066.68,730.32,2806,4022,1216
395,553.56,18064.92,732.07,3108,4340,1232
396,553.61,18063.16,733.83,3491,4543,1052
397,553.67,18061.4,735.59,3184,4174,990
398,553.72,18059.65,737.35,3478,4489,1011
399,553.77,18057.89,739.1,2940,3995,1055
400,553.83,18056.13,740.86,3297,4398,1101
401,553.88,18054.38,742.61,2796,3855,1059
402,553.94,18052.62,744.37,2915,3859,944
403,553.99,18050.87,746.12,2552,3770,1218
404,554.04,18049.11,747.88,2983,4142,1159
405,554.1,18047.36,749.63,3537,4583,1046
406,554.15,18045.61,751.38,3363,4525,1162
407,554.21,18043.86,753.14,3028,3993,965
408,554.26,18042.1,754.89,2703,3699,996
409,554.31,18040.35,756.64,3372,4529,1157
410,554.37,18038.6,758.39,3211,4513,1302
411,554.42,18036.85,760.14,4990,6164,1174
412,554.47,18035.1,761.89,5279,6459,1180
413,554.53,18033.35,763.64,2853,3929,1076
414,554.58,18031.6,765.39,2820,3846,1026
415,554.64,18029.86,767.14,3010,4111,1101
416,554.69,18028.11,768.89,2881,3957,1076
417,554.74,18026.36,770.63,3055,4320,1265
418,554.8,18024.61,772.38,2828,4036,1208
419,554.85,18022.87,774.13,2600,3813,1213
420,554.9,18021.12,775.87,2891,4382,1491
421,554.96,18019.38,777.62,2882,4262,1380
422,555.01,18017.63,779.36,2791,4198,1407
423,555.07,18015.89,781.11,3987,5241,1254
424,555.12,18014.14,782.85,3620,5039,1419
425,555.17,18012.4,784.59,2856,4090,1234
426,555.23,18010.66,786.34,3122,4383,1261
427,555.28,18008.91,788.08,3380,4649,1269
428,555.33,18007.17,789.82,3325,4765,1440
429,555.39,18005.43,791.56,2939,4351,1412
430,555.44,18003.69,793.3,3279,4581,1302
431,555.5,18001.95,795.04,2845,4252,1407
