RamanShift,Processed
1835.85,2136
1837.29,2159
1838.72,1943
1840.16,2171
1841.59,2129
1843.03,2207
1844.46,2247
1845.89,2013
1847.33,2187
1848.76,2105
1850.19,2196
1851.62,2201
1853.05,1787
1854.48,2078
1855.91,1979
1857.34,2118
1858.77,2350
1860.2,2087
1861.63,2015
1863.05,2077
1864.48,2230
1865.91,2081
1867.33,2168
1868.76,2084
1870.18,2103
1871.61,2019
1873.03,2052
1874.46,2171
1875.88,2100
1877.31,2176
1878.73,2202
1880.15,2073
1881.57,1984
1883,2253
1884.42,2050
1885.84,2011
1887.26,2069
1888.68,2111
1890.1,2090
1891.52,2173
1892.93,2110
1894.35,2058
1895.77,2114
1897.19,2095
1898.6,2341
1900.02,2150
1901.44,2218
1902.85,2045
1904.27,2204
1905.68,2114
1907.1,2168
1908.51,2040
1909.92,2060
1911.34,2174
1912.75,2147
1914.16,2019
1915.57,2115
1916.99,2112
1918.4,2058
1919.81,2185
1921.22,2254
1922.63,2155
1924.04,2113
1925.45,1980
1926.85,2224
1928.26,2125
1929.67,2225
1931.08,2208
1932.48,2154
1933.89,2057
1935.3,2158
1936.7,2166
1938.11,2243
1939.51,2074
1940.91,2183
1942.32,2260
1943.72,2079
1945.12,2044
1946.53,2126
1947.93,2121
1949.33,2136
1950.73,2129
1952.13,2149
1953.53,2218
1954.93,2161
1956.33,2072
1957.73,2224
1959.13,2044
1960.53,2211
1961.93,1913
1963.32,2196
1964.72,2092
1966.12,2199
1967.51,2151
1968.91,2234
1970.3,2255
1971.7,2253
1973.09,2119
1974.49,2122
1975.88,2194
1977.27,2327
1978.67,1998
1980.06,2041
1981.45,2112
1982.84,2133
1984.23,2134
1985.62,2153
1987.01,2009
1988.4,2269
1989.79,2094
1991.18,2248
1992.57,2026
1993.96,2288
1995.35,2303
1996.73,2344
1998.12,2238
1999.51,2014
2000.89,2014
2002.28,2245
2003.66,2245
2005.05,2309
2006.43,2231
2007.82,2364
2009.2,2224
2010.58,2094
2011.96,2368
2013.35,2152
2014.73,2179
2016.11,2349
2017.49,2249
2018.87,2182
2020.25,2162
2021.63,2130
2023.01,2201
2024.39,2272
2025.77,2186
2027.15,2366
2028.52,2088
2029.9,2176
2031.28,2142
2032.65,2141
2034.03,2270
2035.4,2021
2036.78,2110
2038.15,2159
2039.53,2327
2040.9,2452
2042.28,2352
2043.65,2275
2045.02,2220
2046.39,2308
2047.76,2185
2049.14,2336
2050.51,2242
2051.88,2043
2053.25,2251
2054.62,2216
2055.99,2215
2057.35,2228
2058.72,2361
2060.09,2169
2061.46,2201
2062.83,2256
2064.19,2284
2065.56,2422
2066.92,2303
2068.29,2128
2069.65,2256
2071.02,2183
2072.38,2080
2073.75,2377
2075.11,2340
2076.47,2356
2077.84,2225
2079.2,2360
2080.56,2300
2081.92,2192
2083.28,2275
2084.64,2280
2086,2172
2087.36,2287
2088.72,2203
2090.08,2235
2091.44,2131
2092.8,2295
2094.15,2220
2095.51,2219
2096.87,2186
2098.22,2149
2099.58,2254
2100.94,2166
2102.29,2255
2103.64,2313
2105,2208
2106.35,2142
2107.71,2309
2109.06,2209
2110.41,2212
2111.76,2174
2113.12,2215
2114.47,2166
2115.82,2339
2117.17,2321
2118.52,2280
2119.87,2321
2121.22,2165
2122.57,2385
2123.91,2371
2125.26,2286
2126.61,2311
2127.96,2224
2129.3,2149
2130.65,2165
2132,2374
2133.34,2212
2134.69,2064
2136.03,2183
2137.38,2303
2138.72,2310
2140.06,2273
2141.41,2042
2142.75,2209
2144.09,2252
2145.43,2308
2146.77,2187
2148.11,2253
2149.46,2094
2150.8,2158
2152.14,2369
2153.47,2256
2154.81,2341
2156.15,2253
2157.49,2233
2158.83,2294
2160.16,2145
2161.5,2176
2162.84,2496
2164.17,2130
2165.51,2483
2166.85,2247
2168.18,2310
2169.51,2276
2170.85,2359
2172.18,2407
2173.52,2058
2174.85,2220
2176.18,2314
2177.51,2236
2178.84,2511
2180.17,2262
2181.51,2337
2182.84,2363
2184.17,2378
2185.49,2293
2186.82,2280
2188.15,2386
2189.48,2335
2190.81,2328
2192.14,2335
2193.46,2264
2194.79,2161
2196.12,2278
2197.44,2309
2198.77,2257
2200.09,2320
2201.42,2295
2202.74,2382
2204.06,2329
2205.39,2287
2206.71,2287
2208.03,2112
2209.36,2310
2210.68,2481
2212,2354
2213.32,2274
2214.64,2342
2215.96,2300
2217.28,2247
2218.6,2216
2219.92,2347
2221.24,2479
2222.55,2328
2223.87,2119
2225.19,2293
2226.51,2282
2227.82,2229
2229.14,2324
2230.45,2291
2231.77,2328
2233.08,2288
2234.4,2242
2235.71,2229
2237.03,2384
2238.34,2419
2239.65,2291
2240.96,2366
2242.28,2419
2243.59,2287
2244.9,2468
2246.21,2341
2247.52,2134
2248.83,2277
2250.14,2280
2251.45,2395
2252.76,2260
2254.06,2355
2255.37,2449
2256.68,2196
2257.99,2284
2259.29,2293
2260.6,2364
2261.91,2315
2263.21,2256
2264.52,2352
2265.82,2264
2267.12,2248
2268.43,2326
2269.73,2167
2271.03,2387
2272.34,2291
2273.64,2362
2274.94,2161
2276.24,2243
2277.54,2298
2278.84,2152
2280.14,2392
2281.44,2434
2282.74,2542
2284.04,2354
2285.34,2460
2286.64,2292
2287.94,2513
2289.23,2313
2290.53,2295
2291.83,2253
2293.12,2377
2294.42,2365
2295.72,2483
2297.01,2462
2298.3,2334
2299.6,2289
2300.89,2309
2302.19,2283
2303.48,2413
2304.77,2516
2306.06,2337
2307.35,2419
2308.65,2340
2309.94,2312
2311.23,2298
2312.52,2499
2313.81,2426
2315.1,2409
2316.39,2364
2317.67,2336
2318.96,2425
2320.25,2513
2321.54,2377
2322.82,2569
2324.11,2824
2325.4,2875
2326.68,3626
2327.97,4358
2329.25,5487
2330.54,5294
2331.82,4336
2333.1,3044
2334.39,2631
2335.67,2523
2336.95,2453
2338.24,2411
2339.52,2230
2340.8,2413
2342.08,2487
2343.36,2604
2344.64,2257
2345.92,2374
2347.2,2367
2348.48,2379
2349.76,2536
2351.03,2480
2352.31,2214
2353.59,2438
2354.87,2268
2356.14,2447
2357.42,2411
2358.69,2427
2359.97,2501
2361.24,2410
2362.52,2419
2363.79,2390
2365.07,2582
2366.34,2377
2367.61,2433
2368.88,2416
2370.16,2595
2371.43,2501
2372.7,2611
2373.97,2587
2375.24,2471
2376.51,2538
2377.78,2552
2379.05,2441
2380.32,2447
2381.59,2541
2382.86,2488
2384.12,2492
2385.39,2521
2386.66,2564
2387.92,2517
2389.19,2625
2390.46,2564
2391.72,2550
2392.99,2810
2394.25,2539
2395.51,2405
2396.78,2443
2398.04,2758
2399.3,2669
2400.57,2673
2401.83,2608
2403.09,2537
2404.35,2672
2405.61,2735
2406.87,2538
2408.13,2834
2409.39,2642
2410.65,2509
2411.91,2582
2413.17,2684
2414.43,2548
2415.69,2665
2416.94,2738
2418.2,2854
2419.46,2710
2420.71,2853
2421.97,2554
2423.22,2841
2424.48,2858
2425.73,2585
2426.99,2720
2428.24,2857
2429.5,2749
2430.75,2893
2432,2786
2433.25,2800
2434.51,2901
2435.76,2712
2437.01,2845
2438.26,2867
2439.51,2975
2440.76,2890
2442.01,2831
2443.26,2775
2444.51,2900
2445.75,3098
2447,2849
2448.25,2803
2449.5,2940
2450.74,2883
2451.99,2956
2453.24,3005
2454.48,2692
2455.73,2809
2456.97,2970
2458.22,3060
2459.46,2833
2460.7,2992
2461.95,2914
2463.19,2866
2464.43,2996
2465.67,2964
2466.92,2761
2468.16,2885
2469.4,2673
2470.64,2993
2471.88,2961
2473.12,2900
2474.36,2835
2475.6,2753
2476.83,2949
2478.07,2796
2479.31,2865
2480.55,2952
2481.78,2860
2483.02,2875
2484.26,2891
2485.49,2854
2486.73,2772
2487.96,2736
2489.2,2895
2490.43,2878
2491.66,2896
2492.9,2775
2494.13,2869
2495.36,2822
2496.6,2930
2497.83,2823
2499.06,2842
2500.29,2873
