x,y
77,3.420239182005537e-05
78,1.4887688900453848e-05
79,6.298780266838214e-06
80,2.291165658455357e-05
81,4.670326104102402e-06
82,-1.9075666835680603e-05
83,-4.037288047100822e-06
84,1.8789730595457355e-05
85,-8.549508690864417e-06
86,-6.226077090491533e-06
87,1.5159506106218615e-05
88,2.5388543270785287e-05
89,2.3617970395332314e-05
90,1.557171769751435e-05
91,2.930545544565816e-05
92,2.6866730586810677e-05
93,4.2970641682540467e-07
94,-8.054985184261117e-06
95,-2.1039055892058817e-06
96,-4.294646413164867e-06
97,-1.1127296854735824e-05
98,4.976558037591628e-06
99,1.0994539299498624e-05
100,-1.2522853506930767e-05
101,-1.7079670369138378e-05
102,-2.4165001822152275e-05
103,-3.856724101599724e-05
104,-1.4538182283340388e-05
105,1.6506621028762277e-06
106,4.265022898197458e-06
107,1.552539104261868e-05
108,-1.146045285030584e-05
109,-1.7410633254629084e-05
110,1.3465982744024553e-06
111,9.928369288770737e-06
112,7.347386437712907e-06
113,2.0050057492075173e-05
114,1.209905097632774e-05
115,-4.162056785381293e-06
116,-2.238627201352542e-06
117,-1.0786872248049899e-05
118,6.2168869234848195e-06
119,2.828694612577658e-05
120,8.332468074931138e-07
121,-1.707333086048711e-05
122,-2.3242803278353887e-05
123,-1.8159800445059153e-05
124,2.896004404903072e-06
125,-1.4752732119902121e-05
126,8.416543060816038e-06
127,1.1780905307941431e-05
128,-2.0642207590359016e-05
129,-9.018986621703187e-06
130,-1.7821225828761484e-05
131,-1.3715431097828523e-05
132,1.3328639102899541e-05
133,2.182917397168543e-05
134,2.4935666787458734e-05
135,2.180577265143357e-05
136,2.293802411183822e-05
137,9.611188320638353e-06
138,-9.2325133538666e-06
139,-1.6507933072468543e-05
140,-5.077503754217789e-06
141,-1.2069461766678195e-05
142,-3.211031604699363e-05
143,-3.263762692978114e-05
144,-1.1540816190607248e-05
145,1.2851015273282452e-05
146,-4.5760431180144265e-06
147,-7.658171138348027e-07
148,9.722426987822147e-06
149,-9.127976485532457e-06
150,-7.004758622204839e-06
151,6.698535793570829e-06
152,-7.331011520249613e-06
153,-8.721274346550225e-06
154,1.651524563884435e-05
155,9.373094902956065e-06
156,1.1031421055226787e-05
157,2.3553668972536406e-05
158,6.7728667945484865e-06
159,-5.05078244563331e-06
160,5.131721892591727e-06
161,7.60843651608032e-07
162,1.8481475001677546e-05
163,8.91669396369763e-06
164,-3.800865618307323e-06
165,1.584418607533707e-05
166,2.058800075643418e-06
167,1.7610562782309838e-05
168,1.2887341669966192e-05
169,-2.29591776136707e-05
170,-2.7050214226399078e-05
171,9.46725156810227e-06
172,2.0128829401356576e-05
173,-1.9210882836338187e-06
174,3.949188478335965e-06
175,-6.476334797052112e-07
176,-6.068942702821482e-06
177,-1.4672280654464781e-05
178,-1.900066970838372e-06
179,2.1916638697156468e-05
180,-2.5223092516903642e-06
181,-3.5928024125754195e-06
182,1.9381148946076023e-05
183,-5.891305817565229e-06
184,-2.6149136139766666e-05
185,-1.248570744034601e-05
186,-6.4123242067064495e-06
187,-8.209019918845479e-06
188,-9.182887321415638e-06
189,-6.496751150940696e-06
190,8.985385413645805e-06
191,5.402439330237283e-06
192,-6.4596013306803186e-06
193,6.44705705851777e-07
194,2.602293175560201e-05
195,1.8120440753498392e-05
196,-8.017195754204812e-06
197,3.9633963522893705e-06
198,-1.2293996596284392e-05
199,1.0369774723831401e-06
200,2.8214549010005275e-05
201,1.9456036158371922e-05
202,-8.49751508116359e-06
203,-1.7943527448904947e-05
204,1.6773495658977495e-05
205,1.0558235180640942e-05
206,1.9844010642414882e-05
207,1.6228674778171782e-05
208,-2.902965793230816e-05
209,-2.809129407862327e-05
