x,y
619,3.311049457204292e-05
620,4.655742005459565e-05
621,4.187881180465504e-05
622,3.191563511629927e-06
623,-2.115871374700661e-05
624,-2.4049835439536778e-05
625,-2.1764309727701728e-05
626,6.340114910273703e-06
627,1.697075640777544e-06
628,-2.7892309168641815e-05
629,-1.077638285323999e-05
630,2.8565834051572634e-05
631,5.702436723099532e-06
632,-1.7901696577346006e-05
633,-3.487361010410248e-06
634,-1.1688209803880148e-08
635,1.7380389245527953e-05
636,7.920566029003256e-06
637,4.1465758836456315e-06
638,1.7641257540721648e-05
639,-9.887140218550511e-06
640,-2.8205611100305997e-05
641,-3.6380568045198906e-06
642,2.4578365711536176e-05
643,2.672469876318056e-05
644,-2.3275017494825585e-06
645,2.0922961496172327e-06
646,-1.7307465869354746e-06
647,-1.1758777258257327e-05
648,1.5515475501292817e-05
649,-3.63391418068933e-06
650,-6.330058096525666e-06
651,8.649752013258581e-06
652,1.759272166422857e-06
653,9.51341373435174e-06
654,-6.1808013616125915e-06
655,-3.334122499142273e-05
656,-2.4554450551941603e-05
657,-1.1970770044621149e-05
658,9.528304269373932e-06
659,-6.629700288081071e-06
660,-2.4460821610008103e-05
661,1.558632292310172e-07
662,-8.050489076006262e-06
663,-7.230422449647065e-06
664,-1.0876686323963233e-05
665,-1.0277608455362073e-05
666,3.991321644396836e-06
667,-5.023251653961446e-07
668,4.497209597383836e-07
669,-3.884074852969179e-06
670,-9.586661947623518e-06
671,-3.232422316855587e-05
672,-2.4583424834178258e-05
673,1.3277203361476328e-05
674,1.2686127356481596e-05
675,4.863970843269869e-06
676,4.176989548994526e-06
677,-1.5222735793102781e-06
678,1.1182782866515445e-05
679,2.6564061854558935e-05
680,3.018454091335013e-06
681,-2.6944667722705976e-05
682,8.139668893114669e-06
683,2.8519828575679845e-05
684,8.84367219093884e-06
685,1.837961517189019e-05
686,1.0307139155112219e-05
687,-1.7910591575118965e-05
688,-4.309369907533838e-05
689,-4.2215400320935704e-05
690,-1.3841520436845751e-05
691,1.8737254412283457e-05
692,2.205143009632529e-05
693,1.0263590401420563e-05
694,1.2430095970772305e-06
695,-9.251428044997339e-07
696,5.095395553415859e-06
697,1.2214955105337269e-05
698,1.4527437838801448e-05
699,-7.756935501366705e-06
700,4.454382469297425e-06
701,3.2124045798605406e-05
702,2.7871890212885562e-06
703,-1.118254054555858e-05
704,-6.506689781897218e-06
705,3.360163628762851e-06
706,2.5869022990959592e-05
707,4.777820196674709e-06
708,-3.825199214974322e-06
709,-2.164072237994803e-07
710,1.2998680137798254e-05
711,2.2188692891501687e-05
712,2.4593625706618733e-06
713,3.9281910366111114e-06
714,-1.0117084864578497e-06
715,-1.454408741414755e-05
716,-2.517128018467103e-05
717,-1.7085078790983574e-05
